,Unnamed: 0,timestamp,study_name,fold,accuracy_score,cohen_kappa_score,f1_score,precision_score,recall_score,(DirectoryOrganizer) Paths,attributes
0,0,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",0,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
1,1,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",1,0.75,0.0,0.8571428571428571,0.75,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
2,2,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",2,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
3,3,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",3,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
4,4,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",4,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
5,5,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",5,0.75,0.5,0.8,0.6666666666666666,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
6,6,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",6,0.75,0.0,0.8571428571428571,1.0,0.75,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
7,7,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",7,0.75,0.5,0.8,1.0,0.6666666666666666,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
8,8,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",8,0.75,0.5,0.8,0.6666666666666666,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
9,9,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",9,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
10,10,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",10,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
11,11,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,RecurrencePlot#",11,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,RecurrencePlot#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
12,12,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",0,0.75,0.0,0.8571428571428571,0.75,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
13,13,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",1,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
14,14,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",2,0.75,0.0,0.8571428571428571,0.75,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
15,15,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",3,0.75,0.0,0.8571428571428571,0.75,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
16,16,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",4,0.25,-0.5,0.4,0.5,0.3333333333333333,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
17,17,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",5,0.5,0.0,0.6666666666666666,0.5,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
18,18,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",6,1.0,,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
19,19,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",7,1.0,1.0,1.0,1.0,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
20,20,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",8,0.5,0.0,0.6666666666666666,0.5,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
21,21,2023-10-29 05:23:11.369668,"choose-Out14_#SqueezeNet_1_1,GramianAngularField#",9,0.75,0.0,0.8571428571428571,0.75,1.0,"['ignore/saves/best/choose-Out14_#SqueezeNet_1_1,GramianAngularField#|GroupKFold']","{'Max epochs': 5000, 'Last epoch': 10}"
